country code,postal code,place,state,statecode,province_or_county,province_or_countycode,community,communitycode,latitude,longitude,accuracy,Country,Continent
US,98101,Seattle,Washington,WA,King,33,,,47.6114,-122.3305,4,United States,North America
US,98102,Seattle,Washington,WA,King,33,,,47.6302,-122.321,4,United States,North America
US,98103,Seattle,Washington,WA,King,33,,,47.6733,-122.3426,4,United States,North America
US,98104,Seattle,Washington,WA,King,33,,,47.6036,-122.3256,4,United States,North America
US,98105,Seattle,Washington,WA,King,33,,,47.6633,-122.3022,4,United States,North America
US,98106,Seattle,Washington,WA,King,33,,,47.5344,-122.3547,4,United States,North America
US,98107,Seattle,Washington,WA,King,33,,,47.6701,-122.3763,4,United States,North America
US,98108,Seattle,Washington,WA,King,33,,,47.5413,-122.3129,4,United States,North America
US,98109,Seattle,Washington,WA,King,33,,,47.6339,-122.3476,4,United States,North America
US,98111,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98112,Seattle,Washington,WA,King,33,,,47.6301,-122.2972,4,United States,North America
US,98113,Seattle,Washington,WA,King,33,,,47.6716,-122.3411,4,United States,North America
US,98114,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98115,Seattle,Washington,WA,King,33,,,47.6849,-122.2968,4,United States,North America
US,98116,Seattle,Washington,WA,King,33,,,47.5746,-122.3934,4,United States,North America
US,98117,Seattle,Washington,WA,King,33,,,47.6873,-122.3772,4,United States,North America
US,98118,Seattle,Washington,WA,King,33,,,47.5412,-122.275,4,United States,North America
US,98119,Seattle,Washington,WA,King,33,,,47.6379,-122.3643,4,United States,North America
US,98121,Seattle,Washington,WA,King,33,,,47.6151,-122.3447,4,United States,North America
US,98122,Seattle,Washington,WA,King,33,,,47.6116,-122.3056,4,United States,North America
US,98124,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98125,Seattle,Washington,WA,King,33,,,47.717,-122.3015,4,United States,North America
US,98126,Seattle,Washington,WA,King,33,,,47.5444,-122.3735,4,United States,North America
US,98127,Seattle,Washington,WA,King,33,,,47.6063,-122.3308,4,United States,North America
US,98129,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98131,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98133,Seattle,Washington,WA,King,33,,,47.7377,-122.3431,4,United States,North America
US,98134,Seattle,Washington,WA,King,33,,,47.5903,-122.3263,4,United States,North America
US,98136,Seattle,Washington,WA,King,33,,,47.5398,-122.3878,4,United States,North America
US,98138,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98139,Seattle,Washington,WA,King,33,,,47.6473,-122.3999,4,United States,North America
US,98141,Seattle,Washington,WA,King,33,,,47.6157,-122.3445,4,United States,North America
US,98144,Seattle,Washington,WA,King,33,,,47.5846,-122.3005,4,United States,North America
US,98145,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98146,Seattle,Washington,WA,King,33,,,47.4995,-122.3603,4,United States,North America
US,98148,Seattle,Washington,WA,King,33,,,47.4441,-122.3249,4,United States,North America
US,98154,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98155,Seattle,Washington,WA,King,33,,,47.7559,-122.3003,4,United States,North America
US,98158,Seattle,Washington,WA,King,33,,,47.4497,-122.3076,4,United States,North America
US,98160,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98161,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98164,Seattle,Washington,WA,King,33,,,47.606,-122.332,4,United States,North America
US,98165,Seattle,Washington,WA,King,33,,,47.7161,-122.3004,4,United States,North America
US,98166,Seattle,Washington,WA,King,33,,,47.4511,-122.353,4,United States,North America
US,98168,Seattle,Washington,WA,King,33,,,47.4889,-122.3012,4,United States,North America
US,98170,Seattle,Washington,WA,King,33,,,47.6096,-122.3317,4,United States,North America
US,98174,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98175,Seattle,Washington,WA,King,33,,,47.7161,-122.3004,4,United States,North America
US,98177,Seattle,Washington,WA,King,33,,,47.7467,-122.3686,4,United States,North America
US,98178,Seattle,Washington,WA,King,33,,,47.4924,-122.2359,4,United States,North America
US,98181,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98185,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98188,Seattle,Washington,WA,King,33,,,47.4483,-122.2731,4,United States,North America
US,98190,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98191,Seattle,Washington,WA,King,33,,,47.6062,-122.3321,4,United States,North America
US,98194,Seattle,Washington,WA,King,33,,,47.6024,-122.326,4,United States,North America
US,98195,Seattle,Washington,WA,King,33,,,47.6564,-122.3048,4,United States,North America
US,98198,Seattle,Washington,WA,King,33,,,47.3929,-122.3129,4,United States,North America
US,98199,Seattle,Washington,WA,King,33,,,47.6488,-122.3964,4,United States,North America